OBJECTID,Type,Provider,Remarks,SSID,Activated
8641,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8642,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8643,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8644,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8645,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8646,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8647,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8648,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8649,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8650,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8651,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
8652,Free,Spot On Networks,Free - Up to 25 mbs Wi-Fi Service,Quensbridge Connected,2018-05-01
1,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
2,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
3,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
4,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
5,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
6,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
7,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
8,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
9,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
10,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
11,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
12,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
13,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
14,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
15,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
16,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
17,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
18,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
19,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
20,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
21,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
22,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
23,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
24,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
25,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
26,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
27,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
28,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
29,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
30,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
31,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
32,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
33,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
34,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
35,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
36,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
37,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
38,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
39,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
40,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
41,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
42,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
43,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
44,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
45,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
46,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
47,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
48,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
49,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
50,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
51,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
52,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,
53,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
54,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
55,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
56,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
57,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
58,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
59,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
60,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
61,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
62,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
63,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
64,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
65,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
66,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
67,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
68,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
69,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
70,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
71,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
72,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
73,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
74,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
75,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
76,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
77,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
78,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
79,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
80,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
81,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
82,Free,NYCHA,,DowntownBrooklynWiFi_Fon,
129,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
130,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
131,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
132,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
133,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
134,Free,AT&T,,attwifi,
135,Free,AT&T,,attwifi,
136,Free,AT&T,,attwifi,
137,Free,AT&T,,attwifi,
138,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
139,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
140,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
141,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
142,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
143,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
144,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
145,Free,AT&T,,attwifi,
146,Free,AT&T,,attwifi,
147,Free,AT&T,,attwifi,
148,Limited Free,AT&T,,attwifi,
8330,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8331,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8332,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8333,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8334,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8335,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8336,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-06
